Service Request No,original_address_field,st_num_x,st_dir_x,st_name,Location,Created Date,Status Date,Status,Vehicle Make/Model,License Plate Number,Pound assigned inventory number,City X Coordinate,City Y Coordinate,Vehicle Body Style,impound_date,date,X Coordinate,Y Coordinate,X,Y,iss_dt_tim,st_num_y,st_dir_y,st_nm,st_name_edit,address,lcns_plt_s,viol_cd,viol_desc,rpt_dstrct,vhcl_make,fine_lvl,tckt_que,year,on_route,datetime,penalty
16-08221860,4247 S KEDZIE AVE,4247,S,KEDZIE AVE,4247 S KEDZIE AVE,12/8/2016 0:00,12/22/2016 0:00,Completed,Ford,Q287799,2808079,1155723.569,1876205.14,Carryall,12/7/2016,12/7/2016,-87.70429085,41.81610092,-87.7039,41.81585,12/7/2016 3:55,4247,S,KEDZIE,KEDZIE AVE,4247 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,9,FORD,60,Notice,2016,TRUE,12/7/2016 3:55,TICKET AND TOW
16-08221861,4519 S KEDZIE AVE,4519,S,KEDZIE AVE,4519 S KEDZIE AVE,12/8/2016 0:00,12/15/2016 0:00,Completed,Nissan,Q717251,2808080,1155787.892,1874476.28,Sedan 4 Door,12/7/2016,12/7/2016,-87.70410133,41.81135541,-87.7038996,41.8112268,12/7/2016 4:22,4519,S,KEDZIE,KEDZIE AVE,4519 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,NISS,60,Notice,2016,TRUE,12/7/2016 4:22,TICKET AND TOW
16-08221893,8332 S COTTAGE GROVE AVE,8332,S,COTTAGE GROVE AVE,8332 S COTTAGE GROVE AVE,12/8/2016 0:00,1/11/2017 0:00,Completed,Suzuki,DW1860,2808081,1183010.163,1849915.938,Carryall,12/7/2016,12/7/2016,-87.60501533,41.7433692,-87.60562,41.74269,12/7/2016 4:48,8332,S,COTTAGE GROVE,COTTAGE GROVE AVE,8332 S COTTAGE GROVE,IL,964060,3-7 AM SNOW ROUTE,495,SUZI,60,Define,2016,TRUE,12/7/2016 4:48,TICKET AND TOW
16-08221868,6422 S KEDZIE AVE,6422,S,KEDZIE AVE,6422 S KEDZIE AVE,12/8/2016 0:00,12/15/2016 0:00,Completed,Dodge,Q339907,2808085,1156159.68,1861768.12,Sedan 4 Door,12/7/2016,12/7/2016,-87.70307936,41.77647495,-87.7033299,41.77649,12/7/2016 3:04,6422,S,KEDZIE,KEDZIE AVE,6422 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,8,DODG,60,Notice,2016,TRUE,12/7/2016 3:04,TICKET AND TOW
16-08221869,6421 S KEDZIE AVE,6421,S,KEDZIE AVE,6421 S KEDZIE AVE,12/8/2016 0:00,12/15/2016 0:00,Completed,Chevrolet,S887377,2808086,1156159.38,1861779.12,Carryall,12/7/2016,12/7/2016,-87.70308016,41.77650515,-87.70272,41.77647,12/7/2016 3:03,6421,S,KEDZIE,KEDZIE AVE,6421 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,8,CHEV,60,Notice,2016,TRUE,12/7/2016 3:03,TICKET AND TOW
16-08238091,1510 S STATE ST,1510,S,STATE ST,1510 S STATE ST,12/9/2016 0:00,12/15/2016 0:00,Completed,Toyota,S716902,2808147,1176578.77,1892962.063,Carryall,12/8/2016,12/8/2016,-87.62728457,41.8616388,-87.62761,41.86159,12/8/2016 3:34,1510,S,STATE,STATE ST,1510 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,12/8/2016 3:34,TICKET AND TOW
16-08238095,1940 S ARCHER AVE,1940,S,ARCHER AVE,1940 S ARCHER AVE,12/9/2016 0:00,12/15/2016 0:00,Completed,Chevrolet,V397378,2808150,1176166.07,1890809.245,Carryall,12/8/2016,12/8/2016,-87.62886434,41.85574062,-87.6283546,41.8561207,12/8/2016 4:37,1940,S,ARCHER,ARCHER AVE,1940 S ARCHER,IL,964060,3-7 AM SNOW ROUTE,495,CHEV,60,Notice,2016,TRUE,12/8/2016 4:37,TICKET AND TOW
16-08238096,1953 S ARCHER AVE,1953,S,ARCHER AVE,1953 S ARCHER AVE,12/9/2016 0:00,12/15/2016 0:00,Completed,Bmw,Z991111,2808151,1176017.93,1890712.522,Sedan 2 Door,12/8/2016,12/8/2016,-87.62941099,41.85547854,0,0,12/8/2016 4:46,1953,S,ARCHER,ARCHER AVE,1953 S ARCHER,IL,964060,3-7 AM SNOW ROUTE,495,BMW,60,Paid,2016,TRUE,12/8/2016 4:46,TICKET AND TOW
16-08273580,3228 S ARCHER AVE,3228,S,ARCHER AVE,3228 S ARCHER AVE,12/12/2016 0:00,12/12/2016 0:00,Work In Progress,Hyundai,Z141888,2808196,1165174.537,1883320.633,Sedan 2 Door,12/9/2016,12/9/2016,-87.66942091,41.83543152,-87.6696933,41.8354143,12/9/2016 3:00,3228,S,ARCHER,ARCHER AVE,3228 S ARCHER,IL,964060,3-7 AM SNOW ROUTE,495,HYUN,60,Notice,2016,TRUE,12/9/2016 3:00,TICKET AND TOW
16-08273583,821 S STATE ST,821,S,STATE ST,821 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Volvo,S774470,2808198,1176485.312,1896568.293,Sedan 4 Door,12/9/2016,12/9/2016,-87.62751879,41.87153663,-87.6272651,41.8711224,12/9/2016 3:27,849,S,STATE ST,STATE ST,849 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,VOLV,60,Notice,2016,TRUE,12/9/2016 3:27,TICKET AND TOW
16-08273584,1001 S STATE ST,1001,S,STATE ST,1001 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Nissan,134T658,2808199,1176501.058,1895958.752,Sedan 4 Door,12/9/2016,12/9/2016,-87.62747939,41.86986366,-87.6270399,41.86987,12/9/2016 3:22,1001,S,STATE ST,STATE ST,1001 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,NISS,60,Notice,2016,TRUE,12/9/2016 3:22,TICKET AND TOW
16-08273585,500 S KEDZIE AVE,500,S,KEDZIE AVE,500 S KEDZIE AVE,12/12/2016 0:00,12/22/2016 0:00,Completed,Nissan,V983274,2808200,1155117.718,1897527.777,Sedan 4 Door,12/9/2016,12/9/2016,-87.70594186,41.8746249,0,0,12/9/2016 3:56,500,S,KEDZIE,KEDZIE AVE,500 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,NISS,60,Notice,2016,TRUE,12/9/2016 3:56,TICKET AND TOW
16-08273524,805 S STATE ST,805,S,STATE ST,805 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Acura,P248132,2808202,1176483.212,1896643.293,Sedan 4 Door,12/9/2016,12/9/2016,-87.62752424,41.87174248,-87.6272751,41.8716528,12/9/2016 3:29,807,S,STATE ST,STATE ST,807 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,ACUR,60,Paid,2016,TRUE,12/9/2016 3:29,TICKET AND TOW
16-08273526,2446 S KEDZIE AVE,2446,S,KEDZIE AVE,2446 S KEDZIE AVE,12/12/2016 0:00,12/22/2016 0:00,Completed,Dodge,R134273,2808204,1155413.472,1887572.713,Pickup,12/9/2016,12/9/2016,-87.70512342,41.84730117,-87.70543,41.84669,12/9/2016 4:28,2446,S,KEDZIE,KEDZIE AVE,2446 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,DODG,60,Paid,2016,TRUE,12/9/2016 4:28,TICKET AND TOW
16-08273528,2422 S KEDZIE AVE,2422,S,KEDZIE AVE,2422 S KEDZIE AVE,12/12/2016 0:00,12/22/2016 0:00,Completed,Chevrolet,Q137438,2808205,1155408.772,1887732.213,Sedan 4 Door,12/9/2016,12/9/2016,-87.70513638,41.84773896,0,0,12/9/2016 4:12,2422,S,KEDZIE,KEDZIE AVE,2422 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,CHEV,60,Notice,2016,TRUE,12/9/2016 4:12,TICKET AND TOW
16-08273529,2232 S KEDZIE AVE,2232,S,KEDZIE AVE,2232 S KEDZIE AVE,12/12/2016 0:00,12/22/2016 0:00,Completed,Chevrolet,Q504521,2808206,1155372.216,1888985.515,Sedan 4 Door,12/9/2016,12/9/2016,-87.7052369,41.85117889,-87.70556,41.85078,12/9/2016 4:17,2232,S,KEDZIE,KEDZIE AVE,2232 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,CHEV,60,Paid,2016,TRUE,12/9/2016 4:17,TICKET AND TOW
16-08273532,1004 S STATE ST,1004,S,STATE ST,1004 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Bmw,312T413,2808208,1176501.158,1895951.752,Sedan 4 Door,12/9/2016,12/9/2016,-87.62747923,41.86984445,-87.6276749,41.8699186,12/9/2016 3:32,1002,S,STATE ST,STATE ST,1002 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,BMW,60,Paid,2016,TRUE,12/9/2016 3:32,TICKET AND TOW
16-08273533,1822 S STATE ST,1822,S,STATE ST,1822 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Ford,P357149,2808209,1176616.68,1891465.09,Carryall,12/9/2016,12/9/2016,-87.62719061,41.85753015,-87.6275,41.8572,12/9/2016 3:40,1812,S,STATE ST,STATE ST,1812 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,FORD,60,Paid,2016,TRUE,12/9/2016 3:40,TICKET AND TOW
16-08273536,1921 S STATE ST,1921,S,STATE ST,1921 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Honda,Y959233,2808211,1176627.016,1891022.95,Carryall,12/9/2016,12/9/2016,-87.62716601,41.85631665,-87.62676,41.85602,12/9/2016 3:45,1919,S,STATE ST,STATE ST,1919 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,HOND,60,Paid,2016,TRUE,12/9/2016 3:45,TICKET AND TOW
16-08273537,4432 S KEDZIE AVE,4432,S,KEDZIE AVE,4432 S KEDZIE AVE,12/12/2016 0:00,12/22/2016 0:00,Completed,Nissan,Z151282,2808212,1155770.887,1874932.56,Carryall,12/9/2016,12/9/2016,-87.70415145,41.81260785,0,0,12/9/2016 5:16,4432,S,KEDZIE,KEDZIE AVE,4432 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,NISS,60,Paid,2016,TRUE,12/9/2016 5:16,TICKET AND TOW
16-08273538,4429 S KEDZIE AVE,4429,S,KEDZIE AVE,4429 S KEDZIE AVE,12/12/2016 0:00,12/12/2016 0:00,Work In Progress,Nissan,110T623,2808213,1155769.626,1874965.66,Sedan 4 Door,12/9/2016,12/9/2016,-87.70415519,41.8126987,-87.70375,41.81265,12/9/2016 5:26,4429,S,KEDZIE,KEDZIE AVE,4429 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,NISS,60,Notice,2016,TRUE,12/9/2016 5:26,TICKET AND TOW
16-08273545,5602 S KEDZIE AVE,5602,S,KEDZIE AVE,5602 S KEDZIE AVE,12/12/2016 0:00,12/22/2016 0:00,Completed,Toyota,A564322,2808217,1156003.371,1867301.098,Sedan 4 Door,12/9/2016,12/9/2016,-87.70350381,41.79166139,0,0,12/9/2016 6:35,5602,S,KEDZIE,KEDZIE AVE,5602 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,TOYT,60,Notice,2016,TRUE,12/9/2016 6:35,TICKET AND TOW
16-08289489,5603 S KEDZIE AVE,5603,S,KEDZIE AVE,5603 S KEDZIE AVE,12/13/2016 0:00,12/22/2016 0:00,Completed,Jeep - Year Greater 1988,160T963,2808285,1156003.571,1867294.498,Carryall,12/10/2016,12/10/2016,-87.70350325,41.79164328,-87.703307,41.791487,12/10/2016 3:06,5603,S,KEDZIE,KEDZIE AVE,5603 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,JEEP,60,Notice,2016,TRUE,12/10/2016 3:06,TICKET AND TOW
16-08277103,6116 S KEDZIE AVE,6116,S,KEDZIE AVE,6116 S KEDZIE AVE,12/12/2016 0:00,12/22/2016 0:00,Completed,Nissan,Q256219,2808286,1156103.78,1863826.14,Sedan 4 Door,12/10/2016,12/10/2016,-87.703229,41.78212359,-87.70354,41.78203,12/10/2016 3:16,6116,S,KEDZIE,KEDZIE AVE,6116 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,NISS,60,Notice,2016,TRUE,12/10/2016 3:16,TICKET AND TOW
16-08277107,6559 S KEDZIE AVE,6559,S,KEDZIE AVE,6559 S KEDZIE AVE,12/12/2016 0:00,12/22/2016 0:00,Completed,Honda,Q527140,2808294,1156181.43,1860883.98,Sedan 4 Door,12/10/2016,12/10/2016,-87.70302338,41.7740483,-87.70265,41.77367,12/10/2016 3:24,6559,S,KEDZIE,KEDZIE AVE,6559 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,HOND,60,Paid,2016,TRUE,12/10/2016 3:24,TICKET AND TOW
16-08277114,501 W MADISON ST,501,W,MADISON ST,501 W MADISON ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Volkswagen,K623595,2808300,1173130.816,1900311.554,Sedan 2 Door,12/10/2016,12/10/2016,-87.63972328,41.88188342,-87.6402699,41.8817251,12/10/2016 3:25,515,W,MADISON,MADISON ST,515 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,VOLK,60,Notice,2016,TRUE,12/10/2016 3:25,TICKET AND TOW
16-08277116,6541 S KEDZIE AVE,6541,S,KEDZIE AVE,6541 S KEDZIE AVE,12/12/2016 0:00,12/22/2016 0:00,Completed,General Motors Corp.,Z801055,2808301,1156179.33,1860973.88,Carryall,12/10/2016,12/10/2016,-87.70302866,41.77429504,-87.70267,41.77432,12/10/2016 3:28,6541,S,KEDZIE,KEDZIE AVE,6541 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,GMC,60,Notice,2016,TRUE,12/10/2016 3:28,TICKET AND TOW
16-08277123,548 W MADISON ST,548,W,MADISON ST,548 W MADISON ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Mazda,942RJA,2808307,1172676.411,1900298.342,Carryall,12/10/2016,12/10/2016,-87.64139223,41.88185723,-87.6415191,41.8817235,12/10/2016 3:29,555,W,MADISON,MADISON ST,555 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,MAZD,60,Paid,2016,TRUE,12/10/2016 3:29,TICKET AND TOW
16-08277124,414 W 103RD,414,W,103RD,414 W 103RD,12/12/2016 0:00,12/22/2016 0:00,Completed,Nissan,Q669280,2808308,,,Sedan 4 Door,12/10/2016,12/10/2016,-87.633668,41.707031,-87.63403,41.70732,12/10/2016 3:13,408,W,103RD ST,103RD ST,408 W 103RD ST,IL,964060,3-7 AM SNOW ROUTE,22,NISS,60,Notice,2016,TRUE,12/10/2016 3:13,TICKET AND TOW
16-08277127,601 S STATE ST,601,S,STATE ST,601 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Toyota,S773221,2808310,1176451.322,1897658.728,Sedan 4 Door,12/10/2016,12/10/2016,-87.62761067,41.87452962,-87.6273162,41.8741098,12/10/2016 3:01,621,S,STATE,STATE ST,621 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Notice,2016,TRUE,12/10/2016 3:01,TICKET AND TOW
16-08277129,650 S STATE ST,650,S,STATE ST,650 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Honda,A185047,2808312,1176459.603,1897388.628,Carryall,12/10/2016,12/10/2016,-87.62758842,41.87378826,-87.627965,41.8817398,12/10/2016 3:01,6,S,STATE ST,STATE ST,6 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,HOND,60,Paid,2016,TRUE,12/10/2016 3:01,TICKET AND TOW
16-08277134,710 S STATE ST,710,S,STATE ST,710 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Honda,AC6619,2808313,1176470.765,1897042.137,Sedan 4 Door,12/10/2016,12/10/2016,-87.6275579,41.87283722,-87.62792,41.87289,12/10/2016 3:02,700,S,STATE ST,STATE ST,700 S STATE ST,IN,964060,3-7 AM SNOW ROUTE,1,HOND,60,Paid,2016,TRUE,12/10/2016 3:02,TICKET AND TOW
16-08277136,1002 S STATE ST,1002,S,STATE ST,1002 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Chevrolet,Q256606,2808314,1176501.058,1895956.352,Carryall,12/10/2016,12/10/2016,-87.62747946,41.86985707,-87.6276749,41.870306,12/10/2016 3:05,920,S,STATE ST,STATE ST,920 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,CHEV,60,Notice,2016,TRUE,12/10/2016 3:05,TICKET AND TOW
16-08277140,1411 S STATE ST,1411,S,STATE ST,1411 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Mazda,ICOAST,2808316,1176558.388,1893729.983,Sedan 4 Door,12/10/2016,12/10/2016,-87.62733621,41.86374648,-87.6270751,41.8613701,12/10/2016 3:06,1519,S,STATE,STATE ST,1519 S STATE,NE,964060,3-7 AM SNOW ROUTE,1,MAZD,60,Paid,2016,TRUE,12/10/2016 3:06,TICKET AND TOW
16-08277144,1505 S STATE ST,1505,S,STATE ST,1505 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Ford,R942034,2808317,1176577.47,1893019.463,Carryall,12/10/2016,12/10/2016,-87.62728761,41.86179634,-87.6270751,41.8615,12/10/2016 3:07,1505,S,STATE,STATE ST,1505 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,FORD,60,Paid,2016,TRUE,12/10/2016 3:07,TICKET AND TOW
16-08277148,546 W MADISON ST,546,W,MADISON ST,546 W MADISON ST,12/12/2016 0:00,12/22/2016 0:00,Completed,General Motors Corp.,DHS1398,2808318,1172690.011,1900298.742,Carryall,12/10/2016,12/10/2016,-87.64134227,41.88185803,-87.6415191,41.8817235,12/10/2016 3:26,555,W,MADISON,MADISON ST,555 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,GMC,60,Define,2016,TRUE,12/10/2016 3:26,TICKET AND TOW
16-08277150,1001 S STATE ST,1001,S,STATE ST,1001 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Nissan,E825068,2808319,1176501.058,1895958.752,Sedan 4 Door,12/10/2016,12/10/2016,-87.62747939,41.86986366,-87.6270399,41.86987,12/10/2016 3:05,1001,S,STATE,STATE ST,1001 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,NISS,60,Paid,2016,TRUE,12/10/2016 3:05,TICKET AND TOW
16-08277152,1509 S STATE ST,1509,S,STATE ST,1509 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Subaru,313YJD,2808320,1176578.47,1892973.463,Carryall,12/10/2016,12/10/2016,-87.62728533,41.86167009,-87.6270751,41.86146,12/10/2016 3:08,1507,S,STATE,STATE ST,1507 S STATE,WI,964060,3-7 AM SNOW ROUTE,1,SUBA,60,Paid,2016,TRUE,12/10/2016 3:08,TICKET AND TOW
16-08277154,1527 S STATE ST,1527,S,STATE ST,1527 S STATE ST,12/12/2016 0:00,12/22/2016 0:00,Completed,Toyota,361PXA,2808321,1176583.097,1892766.796,Van,12/10/2016,12/10/2016,-87.62727458,41.86110288,-87.6270751,41.8613234,12/10/2016 3:09,1523,S,STATE,STATE ST,1523 S STATE,IN,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,12/10/2016 3:09,TICKET AND TOW
16-08285297,601 W MADISON ST,601,W,MADISON ST,601 W MADISON ST,12/13/2016 0:00,12/22/2016 0:00,Completed,Toyota,E139326,2808367,1172320.75,1900288.195,Sedan 4 Door,12/11/2016,12/11/2016,-87.64269849,41.88183725,-87.6438,41.88143,12/11/2016 3:07,601,W,MADISON,MADISON ST,601 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Notice,2016,TRUE,12/11/2016 3:07,TICKET AND TOW
16-08285301,1021 S STATE ST,1021,S,STATE ST,1021 S STATE ST,12/13/2016 0:00,12/22/2016 0:00,Completed,Toyota,S654773,2808371,1176502.058,1895912.052,Carryall,12/11/2016,12/11/2016,-87.62747713,41.86973549,-87.6272651,41.8695182,12/11/2016 3:01,1013,S,STATE,STATE ST,1013 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Notice,2016,TRUE,12/11/2016 3:01,TICKET AND TOW
16-08285236,600 S STATE ST,600,S,STATE ST,600 S STATE ST,12/13/2016 0:00,12/22/2016 0:00,Completed,Isuzu,CGD837,2808373,1176451.122,1897667.028,Carryall,12/11/2016,12/11/2016,-87.62761115,41.8745524,-87.62794,41.8733999,12/11/2016 3:01,646,S,STATE,STATE ST,646 S STATE,AK,964060,3-7 AM SNOW ROUTE,1,ISU,60,Define,2016,TRUE,12/11/2016 3:01,TICKET AND TOW
16-08285237,1449 S STATE ST,1449,S,STATE ST,1449 S STATE ST,12/13/2016 0:00,12/22/2016 0:00,Completed,Nissan,EVSG65,2808374,1176568.221,1893344.718,Sedan 4 Door,12/11/2016,12/11/2016,-87.62731174,41.86268907,-87.6270595,41.8628017,12/11/2016 3:15,1441,S,STATE,STATE ST,1441 S STATE,FL,964060,3-7 AM SNOW ROUTE,1,NISS,60,Paid,2016,TRUE,12/11/2016 3:15,TICKET AND TOW
16-08285240,1255 S STATE ST,1255,S,STATE ST,1255 S STATE ST,12/13/2016 0:00,12/22/2016 0:00,Completed,Honda,9593448,2808378,1176533.004,1894727.857,Carryall,12/11/2016,12/11/2016,-87.62739927,41.86648528,-87.6271509,41.8664201,12/11/2016 3:10,1257,S,STATE,STATE ST,1257 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,HOND,60,Paid,2016,TRUE,12/11/2016 3:10,TICKET AND TOW
16-08287800,555 W MADISON ST,555,W,MADISON ST,555 W MADISON ST,12/13/2016 0:00,12/22/2016 0:00,Completed,Ford,P582823,2808428,1172629.011,1900297.042,Carryall,12/12/2016,12/12/2016,-87.64156631,41.88185471,-87.6416875,41.8819882,12/12/2016 3:05,558,W,MADISON,MADISON ST,558 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,FORD,60,Paid,2016,TRUE,12/12/2016 3:05,TICKET AND TOW
16-08287802,707 E 79TH ST,707,E,79TH ST,707 E 79TH ST,12/13/2016 0:00,12/22/2016 0:00,Completed,Dodge,E701792,2808429,1182339.459,1852781.363,Van,12/12/2016,12/12/2016,-87.60738423,41.75124779,0,0,12/12/2016 3:44,707,E,79TH,79TH ST,707 E 79TH,IL,964060,3-7 AM SNOW ROUTE,495,DODG,60,Notice,2016,TRUE,12/12/2016 3:44,TICKET AND TOW
16-08287803,3009 E 79TH,3009,E,79TH,3009 E 79TH,12/13/2016 0:00,12/29/2016 0:00,Completed,Pontiac,Z676723,2808430,,,Sedan 2 Door,12/12/2016,12/12/2016,-87.551059,41.751865,-87.5511854,41.7517972,12/12/2016 4:06,3009,E,79TH,79TH ST,3009 E 79TH,IL,964060,3-7 AM SNOW ROUTE,495,PONT,60,Notice,2016,TRUE,12/12/2016 4:06,TICKET AND TOW
16-08301560,1454 S STATE ST,1454,S,STATE ST,1454 S STATE ST,12/14/2016 0:00,12/22/2016 0:00,Completed,Mercury,X623232,2808488,1176569.521,1893294.018,Sedan 4 Door,12/13/2016,12/13/2016,-87.6273085,41.86254991,-87.6270506,41.8625751,12/13/2016 3:05,1453,S,STATE,STATE ST,1453 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,MERC,60,Court,2016,TRUE,12/13/2016 3:05,TICKET AND TOW
16-08301561,5239 S KEDZIE AVE,5239,S,KEDZIE AVE,5239 S KEDZIE AVE,12/14/2016 0:00,12/22/2016 0:00,Completed,Nissan,ZY22762,2808489,1155934.269,1869710.199,Carryall,12/13/2016,12/13/2016,-87.70369249,41.79827369,-87.70332,41.79784,12/13/2016 3:16,5239,S,KEDZIE,KEDZIE AVE,5239 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,NISS,60,Notice,2016,TRUE,12/13/2016 3:16,TICKET AND TOW
16-08301563,4455 S KEDZIE AVE,4455,S,KEDZIE AVE,4455 S KEDZIE AVE,12/14/2016 0:00,12/22/2016 0:00,Completed,Hyundai,Z741948,2808490,1155780.287,1874678.46,Sedan 4 Door,12/13/2016,12/13/2016,-87.7041238,41.81191037,-87.70374,41.81216,12/13/2016 3:06,4455,S,KEDZIE,KEDZIE AVE,4455 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,HYUN,60,Paid,2016,TRUE,12/13/2016 3:06,TICKET AND TOW
16-08301566,4421 S KEDZIE AVE,4421,S,KEDZIE AVE,4421 S KEDZIE AVE,12/14/2016 0:00,12/22/2016 0:00,Completed,Toyota,286710,2808492,1155766.326,1875054.06,Van,12/13/2016,12/13/2016,-87.70416492,41.81294135,0,0,12/13/2016 3:03,4421,S,KEDZIE,KEDZIE AVE,4421 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,495,TOYT,60,Paid,2016,TRUE,12/13/2016 3:03,TICKET AND TOW
16-08324461,1001 S STATE ST,1001,S,STATE ST,1001 S STATE ST,12/16/2016 0:00,12/22/2016 0:00,Completed,Jeep - Year Greater 1988,E434100,2808618,1176501.058,1895958.752,Carryall,12/15/2016,12/15/2016,-87.62747939,41.86986366,-87.62703,41.8697299,12/15/2016 4:01,1009,S,STATE,STATE ST,1009 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,JEEP,60,Notice,2016,TRUE,12/15/2016 4:01,TICKET AND TOW
16-08324464,1235 S STATE ST,1235,S,STATE ST,1235 S STATE ST,12/16/2016 0:00,12/22/2016 0:00,Completed,Jeep - Year Greater 1988,R533787,2808620,1176530.036,1894850.886,Carryall,12/15/2016,12/15/2016,-87.62740645,41.86682295,-87.6271543,41.866574,12/15/2016 4:16,1235,S,STATE,STATE ST,1235 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,JEEP,60,Notice,2016,TRUE,12/15/2016 4:16,TICKET AND TOW
16-08324466,1009 W 103RD,1009,W,103RD,1009 W 103RD,12/16/2016 0:00,12/22/2016 0:00,Completed,Oldsmobile,Y784878,2808622,,,Sedan 4 Door,12/15/2016,12/15/2016,-87.648148,41.706657,-87.64812,41.7066,12/15/2016 3:23,1009,W,103RD ST,103RD ST,1009 W 103RD ST,IL,964060,3-7 AM SNOW ROUTE,22,OLDS,60,Notice,2016,TRUE,12/15/2016 3:23,TICKET AND TOW
16-08357287,554 W MADISON ST,554,W,MADISON ST,554 W MADISON ST,12/19/2016 0:00,12/29/2016 0:00,Completed,Honda,E512612,2808661,1172635.811,1900297.242,Sedan 4 Door,12/16/2016,12/16/2016,-87.64154134,41.88185511,-87.6414699,41.8817251,12/16/2016 3:06,553,W,MADISON,MADISON ST,553 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,HOND,60,Paid,2016,TRUE,12/16/2016 3:06,TICKET AND TOW
16-08357294,5087 S ARCHER AVE,5087,S,ARCHER AVE,5087 S ARCHER AVE,12/19/2016 0:00,12/29/2016 0:00,Completed,Toyota,X950682,2808667,1149205.85,1870632.667,Sedan 4 Door,12/16/2016,12/16/2016,-87.72834337,41.80093768,-87.734013,41.799902,12/16/2016 3:29,5187,S,ARCHER AVE,ARCHER AVE,5187 S ARCHER AVE,IL,964060,3-7 AM SNOW ROUTE,8,TOYT,60,Notice,2016,TRUE,12/16/2016 3:29,TICKET AND TOW
16-08357933,890 S STATE ST,890,S,STATE ST,890 S STATE ST,12/19/2016 0:00,12/19/2016 0:00,Work In Progress,Lexus,L937761,2808705,1176494.026,1896244.932,Sedan 4 Door,12/17/2016,12/17/2016,-87.62749656,41.87064911,-87.6276749,41.8706972,12/17/2016 3:04,890,S,STATE,STATE ST,890 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,LEXU,60,Notice,2016,TRUE,12/17/2016 3:04,TICKET AND TOW
